Title	Price	Month_Year	Kms	Fuel	Transmission
FIAT 500 1.4 B/GPL Sport	€ 6.400	Giugno 2008	149.000 km	Benzina - Euro 4	Manuale
Fiat 500e Icon Berlina	€ 24.250	Febbraio 2021	9.500 km	Elettrico - Euro 0	Manuale
FIAT 500 Lounge 1.2 benzina neopatentati	€ 8.800	Aprile 2013	125.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 EasyPower Lounge	€ 7.400	Settembre 2012	151.000 km	GPL - Euro 5	Manuale
Fiat 500 1.2 69 Cv S - Per Neopatentati	€ 13.500	Gennaio 2018	26.727 km	Benzina - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S-Navi-Pelle-clima aut.-	€ 13.900	Ottobre 2018	80.900 km	Diesel - Euro 0	Manuale
FIAT 500 1.3 MJT 95 CV by DIESEL	€ 8.900	Giugno 2014	189.000 km	Diesel - Euro 5	Manuale
Fiat 500 1.2 Pop *ok Neopatentati*	€ 6.990	Giugno 2012	159.999 km	Benzina - Euro 5	Manuale
Fiat 500 1.2 Lounge DUALLOGIC	€ 8.900	Luglio 2014	126.000 km	Benzina - Euro 6	Automatico
Fiat 500C 500 C 1.2 Lounge OK NEOPATENTATI	€ 11.300	Maggio 2013	52.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop NEOPATENTATI	€ 13.900	Marzo 2019	57.452 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Gpl Automatica Neopatentati	€ 11.900	Luglio 2016	90.000 km	GPL - Euro 6	Automatico
Fiat 500 1.2Loung69cv SOLO 56000 KM PDC TFT X NEO PATENTATI	€ 10.800	Marzo 2015	56.000 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 EasyPower Lounge NEOPATENTATI	€ 8.900	Ottobre 2012	88.838 km	GPL - Euro 0	Manuale
FIAT 500 500 C 1.2 Lounge	€ 12.900	Agosto 2016	87.500 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 EasyPower Lounge - FINANZ. 48 X 259,00	€ 14.900	Settembre 2020	24.000 km	GPL - Euro 6	Manuale
FIAT 500 1.2 Sport TETTO PANORAMICO OK NEOPATENTATI	€ 6.950	Giugno 2009	118.000 km	Benzina - Euro 4	Manuale
FIAT 500 500 1.3 MJT 95 CV Lounge	€ 9.500	Luglio 2012	79.600 km	Diesel - Euro 5	Manuale
FIAT 500 1.2 S&S Rockstar/OK NEOPATENTATI/SENSORI PARCH.	€ 14.980	Luglio 2020	11.412 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 S&S Rockstar/OK NEOPATENTATI/SENSORI PARCH.	€ 14.980	Luglio 2020	11.412 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 S&S Rockstar/OK NEOPATENTATI/SENSORI PARCH.	€ 14.980	Luglio 2020	11.412 km	Benzina - Euro 6	Manuale
FIAT 500 FIAT 1.2 69CV LOUNGE	€ 13.500	Gennaio 2019	57.702 km	Benzina - Euro 5	Manuale
FIAT 500 1.3 Multijet 16V 95CV Sport TETTO APRIBILE BI-XENO	€ 9.000	Marzo 2011	90.000 km	Diesel - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 La Prima Cabrio	€ 29.300	Novembre 2020	6.132 km	Elettrico - Euro 0	Automatico
Fiat 500 1.2 Lounge	€ 6.500	Marzo 2010	165.000 km	Benzina - Euro 5	Manuale
FIAT 500 500 1.3 MJT 95 CV Lounge	€ 7.900	Novembre 2012	150.000 km	Diesel - Euro 0	Manuale
Fiat 500 Dolcevita 1.0 Hybrid	€ 17.700	Marzo 2021	2.925 km	Ibrido - Euro 6	Manuale
FIAT 500C 500 C 1.4 Lounge #SENSORI POST.	€ 10.500	Agosto 2013	63.489 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 8V Lounge Dualogic	€ 18.600	Ottobre 2020	8.400 km	Benzina - Euro 6	Automatico
FIAT 500C 1.2 Pop	€ 16.500	Maggio 2019	34.900 km	Benzina - Euro 6	Automatico
FIAT 500 La Prima 3+1	€ 31.900	Maggio 2021	4.340 km	Elettrico - Euro 0	Automatico
FIAT 500 CABRIO 1.3 MJT	€ 16.500	Novembre 2018	49.000 km	Diesel - Euro 0	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Marzo 2019	37.000 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Marzo 2019	37.000 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Marzo 2019	37.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge 69cv my18	€ 12.990	Luglio 2018	63.751 km	Benzina - Euro 0	Manuale
FIAT 500e FIAT 500 ELETTRICA ABARTH BONUS RITIRO USATO	€ 15.900	Gennaio 2018	29.789 km	Elettrico - Euro 0	Automatico
FIAT 500 Abarth FIAT 500e ELETTRICA ABARTH BONUS RITIRO USATO	€ 15.900	Gennaio 2018	29.789 km	Elettrico - Euro 0	Automatico
FIAT 500 ELETTRICA FIAT 500e ABARTH BONUS RITIRO USATO	€ 15.900	Gennaio 2018	29.789 km	Elettrico - Euro 0	Automatico
FIAT 500 1.2 GPL 18.000 KM EASYPOWER POP NEOPATENTATI	€ 13.900	Novembre 2019	18.100 km	GPL - Euro 6	Manuale
Fiat 500 500 1.2 69cv Neo Patentati !!!	€ 6.200	Ottobre 2007	143.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 EasyPower Lounge --OK NEOPATENTATI--	€ 8.950	Aprile 2012	92.000 km	GPL - Euro 5	Manuale
Fiat 500 500 1.2 Lounge 69cv, NEOPATENTATI, PRONTA CONS.	€ 8.900	Gennaio 2014	115.273 km	Benzina - Euro 0	Manuale
Fiat 500 0.9 Twinair Turbo Lounge	€ 7.499	Maggio 2011	148.000 km	Benzina - Euro 5	Manuale
FIAT 500C 1.3 Multijet 95cv Lounge EU5	€ 8.900	Giugno 2011	128.100 km	Diesel - Euro 5	Manuale
Fiat 500 1.2 Sport	€ 16.500	Luglio 2019	36.000 km	Benzina - Euro 6	Automatico
Fiat 500C 500 C 1.2 Lounge	€ 15.750	Marzo 2019	43.000 km	Benzina - Euro 6	Manuale
FIAT 500 C 1.3 MJT 75 CV Lounge	€ 14.990	Ottobre 2017	46.438 km	Diesel - Euro 0	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.699	Marzo 2019	30.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 5.500	Gennaio 2008	181.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 EasyPower Pop	€ 12.600	Dicembre 2016	41.798 km	GPL - Euro 6	Manuale
Fiat 500C 500C 1.3 mjt 16v PARIS 95cv	€ 8.990	Luglio 2011	107.000 km	Diesel - Euro 5	Manuale
Fiat 500C 500 C 1.2 Dualogic Lounge	€ 18.390	Maggio 2020	16.000 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 13.299	Giugno 2019	18.860 km	GPL - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 13.299	Giugno 2019	18.860 km	GPL - Euro 6	Manuale
